heuristic_id,raw_app_type,objective,prediction,confidence,parse_ok,parse_error
pop_0_op_e1_n0_251224_134701,bin_greedy,1.51534,0.03501,0.65,True,
pop_0_op_e1_n10_251224_134701,bin_greedy,0.3277,0.02832,0.65,True,
pop_0_op_e1_n11_251224_134701,bin_greedy,1.51534,0.045,0.65,True,
pop_0_op_e1_n12_251224_134701,bin_greedy,0.05815,0.035,0.65,True,
pop_0_op_e1_n13_251224_134701,bin_greedy,0.05755,0.56927,0.85,True,
pop_0_op_e1_n14_251224_134701,bin_greedy,0.03874,0.035,0.75,True,
pop_0_op_e1_n15_251224_134701,bin_greedy,0.60539,0.045,0.65,True,
pop_0_op_e1_n16_251224_134701,bin_greedy,0.76567,0.045,0.65,True,
pop_0_op_e1_n17_251224_134701,bin_greedy,0.04628,0.03501,0.75,True,
pop_0_op_e1_n18_251224_134701,bin_greedy,1.51534,0.045,0.65,True,
pop_0_op_e1_n19_251224_134701,bin_greedy,0.05826,0.02032,0.75,True,
pop_0_op_e1_n1_251224_134701,bin_greedy,0.13211,0.03501,0.75,True,
pop_0_op_e1_n2_251224_134701,bin_greedy,1.51534,0.045,0.65,True,
pop_0_op_e1_n3_251224_134701,bin_greedy,1.51534,0.045,0.65,True,
pop_0_op_e1_n4_251224_134701,bin_greedy,0.14056,0.56927,0.65,True,
pop_0_op_e1_n5_251224_134701,bin_greedy,0.03139,0.02032,0.85,True,
pop_0_op_e1_n6_251224_134701,bin_greedy,1.5079,0.56847,0.65,True,
pop_0_op_e1_n7_251224_134701,bin_greedy,0.03874,0.045,0.65,True,
pop_0_op_e1_n8_251224_134701,bin_greedy,0.03984,0.045,0.65,True,
pop_0_op_e1_n9_251224_134701,bin_greedy,1.51534,0.042,0.65,True,
pop_0_op_e2_n0_251224_134950,bin_greedy,0.73609,0.042,0.65,True,
pop_0_op_e2_n10_251224_134950,bin_greedy,1.51534,0.042,0.65,True,
pop_0_op_e2_n11_251224_134950,bin_greedy,0.03984,0.035,0.65,True,
pop_0_op_e2_n13_251224_134950,bin_greedy,0.04578,0.02832,0.65,True,
pop_0_op_e2_n16_251224_134950,bin_greedy,0.03984,0.02818,0.75,True,
pop_0_op_e2_n17_251224_134950,bin_greedy,0.03984,0.56927,0.65,True,
pop_0_op_e2_n18_251224_134950,bin_greedy,1.43083,0.042,0.65,True,
pop_0_op_e2_n19_251224_134950,bin_greedy,0.03974,0.042,0.65,True,
pop_0_op_e2_n1_251224_134950,bin_greedy,1.459,0.025,0.65,True,
pop_0_op_e2_n2_251224_134950,bin_greedy,0.03984,0.025,0.75,True,
pop_0_op_e2_n3_251224_134950,bin_greedy,0.06097,0.025,0.75,True,
pop_0_op_e2_n4_251224_134950,bin_greedy,1.51534,0.045,0.65,True,
pop_0_op_e2_n5_251224_134950,bin_greedy,0.07144,0.025,0.65,True,
pop_0_op_e2_n6_251224_134950,bin_greedy,0.09629,0.042,0.65,True,
pop_0_op_e2_n7_251224_134950,bin_greedy,1.5086,0.035,0.65,True,
pop_0_op_e2_n8_251224_134950,bin_greedy,1.51534,0.56847,0.75,True,
pop_0_op_e2_n9_251224_134950,bin_greedy,0.4924,0.045,0.65,True,
pop_0_op_i1_n0_251224_134528,bin_greedy,0.04457,0.56927,0.65,True,
pop_0_op_i1_n10_251224_134318,bin_greedy,1.51534,0.56847,0.65,True,
pop_0_op_i1_n10_251224_134528,bin_greedy,0.03984,0.56927,0.65,True,
pop_0_op_i1_n11_251224_134318,bin_greedy,1.51534,0.56847,0.65,True,
pop_0_op_i1_n11_251224_134528,bin_greedy,0.13211,0.02032,0.65,True,
pop_0_op_i1_n12_251224_134318,bin_greedy,0.15696,0.56927,0.65,True,
pop_0_op_i1_n12_251224_134528,bin_greedy,1.51534,0.56847,0.65,True,
pop_0_op_i1_n13_251224_134318,bin_greedy,0.89597,0.56847,0.65,True,
pop_0_op_i1_n13_251224_134528,bin_greedy,1.51534,0.56847,0.65,True,
pop_0_op_i1_n14_251224_134318,bin_greedy,1.51534,0.8,0.65,True,
pop_0_op_i1_n15_251224_134318,bin_greedy,0.03984,0.02832,0.75,True,
pop_0_op_i1_n16_251224_134318,bin_greedy,1.51534,0.042,0.65,True,
pop_0_op_i1_n18_251224_134318,bin_greedy,1.51534,0.56847,0.65,True,
pop_0_op_i1_n19_251224_134318,bin_greedy,1.51534,0.56847,0.65,True,
pop_0_op_i1_n1_251224_134318,bin_greedy,1.48828,0.56847,0.65,True,
pop_0_op_i1_n1_251224_134528,bin_greedy,1.51534,0.56847,0.65,True,
